Date,Close,High,Low,Open,Volume
08-03-2021,,,,,
09-03-2021,993.5133057,1012.013272,983.0390448,983.265724,19506841
10-03-2021,993.4904785,1003.806063,973.3355161,997.5486965,15154484
12-03-2021,989.3642578,1004.39555,984.0591241,1000.722747,11519358
15-03-2021,969.2547607,1000.450805,963.0427294,995.2816784,16864952
16-03-2021,956.2411499,974.3783674,943.3636703,970.3655452,16698099
17-03-2021,952.4777222,963.9948871,950.165234,958.5536855,13873801
18-03-2021,931.9598999,953.5659093,922.7778916,951.3214251,19210236
19-03-2021,910.9888306,945.3135886,907.3160268,939.9177225,20647480
22-03-2021,944.0438843,950.323919,899.0635245,902.7816639,41787429
23-03-2021,935.1566162,940.4164144,921.916449,939.056159,18572478
24-03-2021,946.5377808,956.6039587,932.254709,934.9526119,17421165
25-03-2021,928.3098145,943.0236365,925.1811611,943.0236365,16822814
26-03-2021,902.9856567,931.3477881,900.0610147,931.3477881,22001648
30-03-2021,904.4366455,913.0745041,894.9372858,912.3036747,20180202
31-03-2021,920.1480713,929.0353374,903.0310289,910.4899758,20441701
01-04-2021,908.2681274,929.4887233,906.4090578,915.0243084,16250796
05-04-2021,916.7699585,920.4654298,908.2907755,915.0242884,11723312
06-04-2021,903.5071411,918.1982951,889.6774882,918.1756272,14875099
07-04-2021,899.7436523,909.1070043,892.8061281,908.6762538,14009194
08-04-2021,908.1547852,928.1284652,903.8245519,906.8625335,24266353
09-04-2021,909.2883911,916.8380097,903.688514,911.8502865,15369188
12-04-2021,898.7234497,909.7418005,897.7938849,906.1597286,14037885
13-04-2021,866.5751343,889.3600562,861.6327472,888.2718159,20901482
15-04-2021,875.9385376,879.9287521,869.6131669,872.4017415,19411189
16-04-2021,881.6063232,889.1786089,867.4139246,873.4445516,19723716
19-04-2021,876.074585,884.1456861,873.5126895,878.1150582,15656948
20-04-2021,862.2902222,868.9556717,856.9850881,863.3331266,18478808
22-04-2021,862.0408325,870.1345408,857.1891171,866.280394,17203668
23-04-2021,864.4213257,868.0714612,850.9544198,858.0052836,14490954
26-04-2021,863.4919434,870.0893297,859.4110567,864.2401049,11828857
27-04-2021,878.6817627,889.6321696,866.7338471,870.5880541,20846778
28-04-2021,901.7160645,905.5928792,878.8631385,879.6566358,19992524
29-04-2021,905.6382446,910.4899602,897.8619469,905.8876518,17122437
30-04-2021,917.7675781,927.0402589,910.1726237,917.2460959,17412606
03-05-2021,904.3687134,923.1860908,901.2173918,910.7167523,19828769
04-05-2021,888.2945557,897.3404974,881.0623479,891.4458771,23640186
05-05-2021,869.0463257,892.2620588,866.5071583,884.1909583,21849830
06-05-2021,870.6334229,878.9765389,865.1695531,872.1070779,12393609
07-05-2021,875.5756836,877.3894173,864.5119382,871.4267941,14624666
10-05-2021,875.9158325,886.7528396,873.3086014,878.6364032,12288548
11-05-2021,873.399292,882.7399763,871.0188,879.2032403,13941237
12-05-2021,876.5506592,878.9991549,866.053671,868.3208832,13478264
14-05-2021,867.4819946,876.4372642,864.6934201,875.1676805,13177961
17-05-2021,878.4324341,880.5635189,864.2400338,874.2381482,13291616
18-05-2021,888.8839722,890.2895634,875.3036667,878.43238,11873078
19-05-2021,901.3987427,908.0415246,894.3932139,898.2474211,12064918
20-05-2021,905.5248413,914.3214349,894.1664125,897.79382,16317002
21-05-2021,900.2423706,911.8048706,898.2472935,905.910251,11422532
24-05-2021,908.0187988,911.215456,900.5145162,903.235087,10785605
25-05-2021,900.3557739,911.3061808,898.7007755,910.4899556,8551760
26-05-2021,890.1536255,905.5022701,888.7253063,905.2301951,14780102
27-05-2021,893.2822876,897.5672453,891.1285348,895.5267721,7480204
28-05-2021,896.0255737,903.6885321,889.7455388,893.3956745,26819294
31-05-2021,949.8479004,954.4728771,902.3283099,902.3283099,56469931
01-06-2021,979.5475464,993.7852821,945.4268621,953.112488,59124142
02-06-2021,983.4470825,998.4556475,973.2901731,982.132103,28013832
03-06-2021,998.1155396,1001.856347,978.0511883,978.0511883,24630162
04-06-2021,1001.924377,1020.220331,995.7804103,1007.070776,23974257
07-06-2021,993.241272,1005.007785,990.4073014,1004.259624,14468646
08-06-2021,1009.972717,1016.592831,990.7472593,998.4556128,16336573
09-06-2021,1004.168823,1009.859372,996.7098769,1009.610025,9674735
10-06-2021,986.2130127,1007.070802,978.4819908,1006.163965,11409161
11-06-2021,989.8404541,1011.151722,987.3692305,994.5561021,14155653
14-06-2021,1007.009888,1013.766876,991.9717457,993.2458157,13762778
15-06-2021,1021.456543,1027.530942,998.7741617,1007.8517,20332436
16-06-2021,1023.776917,1035.106702,1019.363287,1028.782087,15174215
17-06-2021,1006.304565,1022.434741,1003.688245,1021.456502,10797349
18-06-2021,1008.1474,1016.951914,991.8807423,1001.026461,15745975
21-06-2021,1012.697449,1016.95185,993.9054594,1012.629208,29369026
22-06-2021,1017.975647,1022.639494,1001.094761,1002.619048,12186448
23-06-2021,1012.74292,1028.782167,1009.830829,1025.596992,12871913
24-06-2021,1003.460815,1024.050056,1001.799987,1023.777093,16653951
25-06-2021,979.8683472,1007.669572,973.725708,1004.143254,91461975
28-06-2021,957.5499878,979.8683558,946.9254774,979.8683558,55355022
29-06-2021,949.1550293,967.5830068,946.8799733,965.5354805,20277042
30-06-2021,949.9740601,959.6203313,948.2905451,950.7475767,27144063
01-07-2021,960.3711548,965.8312655,951.4529058,953.8189497,19762858
02-07-2021,954.5925293,966.0587979,953.2502185,963.7155009,12534407
05-07-2021,968.7433472,970.4951633,952.3174009,954.1602048,14086620
06-07-2021,978.3668213,979.8911076,969.8580781,972.1103871,11702287
07-07-2021,966.8095703,977.7753459,964.7165499,975.978096,10070124
08-07-2021,960.0981445,968.1518892,954.6152868,968.1518892,10454892
09-07-2021,952.1581421,963.2377121,946.8800072,963.2377121,11185460
12-07-2021,942.4208984,951.7486525,940.1003484,950.0650773,9037675
13-07-2021,948.2905884,956.207791,943.9224517,946.3112426,8585292
14-07-2021,955.3887939,956.9130804,950.0878517,955.5252757,6717133
15-07-2021,949.1550293,958.6420115,946.9937081,955.6844267,8532544
16-07-2021,947.4943237,953.2502049,945.7425076,953.2502049,9448356
19-07-2021,961.1674194,962.2367067,949.8831264,949.9513673,8828185
20-07-2021,955.0474854,966.4455126,951.9989126,955.5252315,8354449
22-07-2021,952.7041016,959.1653184,948.2450375,955.297675,6741464
23-07-2021,964.9439697,966.4000152,954.6834705,964.1704531,7972397
26-07-2021,958.1188965,971.2005002,956.4580681,971.2005002,9937030
27-07-2021,944.9917603,965.0805076,942.3754396,959.1653976,12389668
28-07-2021,935.0496826,948.1085383,929.1345729,944.9689778,10824523
29-07-2021,927.0187988,936.4147943,917.4180206,936.4147943,12897848
30-07-2021,934.253479,943.8770042,929.7716074,934.5947435,13765738
02-08-2021,926.0859985,940.942104,924.1748936,936.4147388,11350608
03-08-2021,943.0124512,946.1520118,928.7478264,934.7312372,10925104
04-08-2021,949.951355,951.4301475,939.2358562,950.9751483,11817299
05-08-2021,957.2315674,961.8954143,949.6100753,952.9771655,13169800
06-08-2021,971.109436,980.4598769,957.4590392,962.0318984,21252078
09-08-2021,950.5429077,976.8880893,945.8562535,969.1528623,16620987
10-08-2021,945.1281738,950.8841149,940.2822913,946.8799898,7494143
11-08-2021,950.0877686,961.4403616,943.5811181,947.3349665,11919198
12-08-2021,963.3969116,964.6254274,947.9720127,954.1373988,9184963
13-08-2021,960.3028564,967.446542,957.8002707,966.8550009,8137612
16-08-2021,976.2965088,978.2303606,959.5975997,963.3969421,12780901
17-08-2021,988.9685669,1002.391433,968.3337743,977.9800453,21935444
18-08-2021,984.7597046,994.2921806,977.2975018,986.8527849,12658169
20-08-2021,988.5819092,995.0203195,979.4589374,989.1961972,10075860
23-08-2021,977.4795532,988.286039,972.3606472,975.0907023,9426282
24-08-2021,983.8952637,989.1961456,970.22212,989.1961456,9854395
25-08-2021,993.6097412,997.3863366,980.8238494,985.123745,11864472
26-08-2021,1002.209473,1010.126735,991.97172,994.383318,13380559
27-08-2021,1014.881592,1021.456544,1003.301528,1004.666586,18589616
30-08-2021,1013.493774,1020.478292,1008.329434,1017.861911,10480636
31-08-2021,1032.990967,1035.539107,1017.770851,1023.777008,14027062
01-09-2021,1027.485474,1039.133718,1020.250739,1036.016904,26485463
02-09-2021,1031.557739,1043.297092,1029.692249,1034.242361,11145486
03-09-2021,1043.979614,1050.07676,1026.052128,1026.052128,9956770
