Price,Close,High,Low,Open,Volume
Ticker,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS
Date,,,,,
2021-03-08,163.51133728027344,165.71244242853663,163.2754996919607,164.84772121417382,23874105
2021-03-09,163.35409545898438,164.88701478947416,160.9564549589029,164.06159573020372,23463213
2021-03-10,162.33216857910156,164.4546695913445,161.78188915476952,164.37606536334758,20358192
2021-03-12,161.31021118164062,163.51132867109882,159.97381486101608,163.51132867109882,31973696
2021-03-15,161.5067138671875,161.93907439719885,158.48019015710818,161.82116808117496,42699297
2021-03-16,163.39340209960938,164.21882111883585,161.11366804108957,162.2535412988928,50641203
2021-03-17,165.55519104003906,168.1493666625764,163.94366770218312,166.81297051764506,81604999
2021-03-18,171.09732055664062,172.23718149105147,166.5771664749334,167.44190016108575,95536034
2021-03-19,175.26368713378906,177.7792463271207,169.44646428488895,172.1585464795081,139352860
2021-03-22,177.66131591796875,177.9757576602398,174.12380271762166,175.53880301492646,47823778
2021-03-23,174.67410278320312,179.31216263347702,173.96660255035073,176.87522015522686,43165463
2021-03-24,169.7609100341797,175.14578489741663,169.2106306692199,173.7307843752592,28672557
2021-03-25,166.34130859375,169.76089072380364,164.33672682489686,169.13200721086372,42248040
2021-03-26,165.7910614013672,168.5817605589763,165.35870078821108,168.42453965029117,27083832
2021-03-30,168.6603546142578,169.01411098028328,165.39799292731954,167.63841254088538,28862387
2021-03-31,171.7655029296875,172.39438650845725,167.20604715525886,168.26730376579155,37890481
2021-04-01,172.98397827148438,173.41633887188857,170.82217526946346,172.9446761597443,30182056
2021-04-05,167.08811950683594,172.9446566946344,165.4765960789059,171.05798114422925,32586507
2021-04-06,167.166748046875,168.9748070539272,165.20146814230787,168.0707713218575,26663018
2021-04-07,168.0707550048828,169.17131363772776,167.00951093541516,167.20603392395776,15790468
2021-04-08,167.6383819580078,169.8788011628459,167.3239402169637,168.89616137926927,14660557
2021-04-09,167.5205078125,169.76092761410823,167.08814718912723,168.0314851206171,16994483
2021-04-12,161.38880920410156,165.86964823150564,161.1529840943502,165.0835437705231,35840817
2021-04-13,164.06158447265625,164.84770136766377,161.93908380463958,162.72520069964713,21027436
2021-04-15,162.48936462402344,165.43728432160052,161.9390852839088,164.29742353338779,18205903
2021-04-16,163.47201538085938,164.4939699129989,162.33215451693823,163.5113299485406,13824608
2021-04-19,161.6246337890625,162.01769221652623,160.170331310241,161.15297115035747,16400507
2021-04-20,160.01312255859375,162.72520473660538,159.1877035354844,162.09630871358013,22187707
2021-04-22,161.86045837402344,162.1749001079774,157.65475969686375,158.79462032526044,24030915
2021-04-23,161.4281463623047,162.7252282472713,160.56342510566026,160.56342510566026,20381213
2021-04-26,161.38880920410156,162.52868247242807,160.91714652751205,161.7818676631362,20652091
2021-04-27,161.46742248535156,162.68589994562547,161.1922828155183,161.38880581236214,11885588
2021-04-28,161.54603576660156,162.3321401945587,161.3888024239239,161.939081752037,13197445
2021-04-29,160.6027069091797,163.15756824173232,160.40617144846829,162.80382434379092,13601150
2021-04-30,159.2663116455078,161.70326666580098,158.79464895952543,160.28826615076684,17130954
2021-05-03,157.96923828125,158.67673857623163,157.22243587462708,158.16576129654413,21405441
2021-05-04,156.90797424316406,159.0697895953374,156.51492823102993,158.16575387041982,18962501
2021-05-05,158.322998046875,158.7946607679315,156.8293807445641,158.36230015935772,14396547
2021-05-06,159.38421630859375,161.89977532510906,158.87323910124078,159.03047243972318,14872429
2021-05-07,161.4281463623047,162.2928676189491,159.5414704777273,159.5414704777273,20213092
2021-05-10,161.58534240722656,163.07894709079335,161.1529818454481,162.84312198433295,16922951
