Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2021-03-08,2643.340087890625,2666.2400827282695,2633.714239318792,2651.2957762968877,2003125
2021-03-09,2682.019775390625,2696.0410098074835,2630.2862256983,2643.3403896236246,1942397
2021-03-10,2699.601806640625,2719.1612723280527,2689.975955214769,2703.1621118579787,3053778
2021-03-12,2688.173583984375,2740.0831259740735,2673.5810339324644,2703.161890397907,2938317
2021-03-15,2695.38134765625,2724.2591074890815,2673.2726511372366,2673.2726511372366,3097083
2021-03-16,2733.973388671875,2761.180778120956,2689.975543155086,2689.975543155086,4894756
2021-03-17,2736.52294921875,2773.4881833018144,2712.216553840037,2729.534329366762,3838390
2021-03-18,2669.317138671875,2765.971605676394,2625.846826743809,2747.950528336439,3656306
2021-03-19,2681.360595703125,2724.259595798463,2641.6263586235505,2663.603283404112,5776626
2021-03-22,2751.203125,2759.818122141022,2653.6255823341885,2680.041887934514,2821646
2021-03-23,2762.587890625,2785.7954411443675,2745.2261172066974,2760.3022042263533,3305973
2021-03-24,2743.68701171875,2771.11416820784,2734.9400248267016,2734.984021595591,2207104
2021-03-25,2694.239501953125,2752.258589824629,2681.1851213346645,2735.8636733444264,3179786
2021-03-26,2695.95361328125,2740.962316543266,2675.0755327751876,2716.919472723651,3697370
2021-03-30,2776.608642578125,2802.89295847513,2690.76664657172,2710.1943337083953,4694008
2021-03-31,2793.574462890625,2817.4413135999807,2753.268703337017,2773.4874709541155,3530069
2021-04-01,2782.278076171875,2826.231916237781,2764.6965401455122,2805.2220665336217,4285076
2021-04-05,2847.24267578125,2868.4285193103187,2769.971886100771,2787.553427745333,5317862
2021-04-06,2869.9228515625,2878.9773882568857,2839.4189203266383,2878.9773882568857,2291562
2021-04-07,2875.8125,2881.2189524865717,2843.638409585986,2864.9120307136286,2491268
2021-04-08,2916.2060546875,2931.721677267056,2871.1093634748245,2874.5816745617008,2578118
2021-04-09,2920.513427734375,2948.731883972365,2907.986581065637,2948.4241211892822,2911129
2021-04-12,2853.967041015625,2934.4465709871874,2824.649741699711,2920.513116819695,3791828
2021-04-13,2728.698974609375,2825.35344676723,2701.4475879106244,2825.35344676723,8654596
2021-04-15,2829.704833984375,2845.791985824758,2714.1062098015173,2778.1470543691926,6062760
2021-04-16,2808.78271484375,2854.3629419100944,2797.7504704864327,2838.539556337448,3224657
2021-04-19,2779.4658203125,2803.3766728107203,2755.9945063330647,2785.7951320593206,2679106
2021-04-20,2764.301513671875,2835.330975379309,2748.3023558299074,2835.0232125941484,3141893
2021-04-22,2741.664794921875,2767.333794821836,2729.753261235866,2767.333794821836,1988980
2021-04-23,2733.489501953125,2741.840732140793,2717.270576775486,2729.5336560747555,1615309
2021-04-26,2725.841796875,2771.7295698556877,2714.6335659788188,2726.9406430412923,2490260
2021-04-27,2753.269287109375,2756.873588817901,2727.7760529694733,2730.4132840873945,1471417
2021-04-28,2746.32470703125,2769.9717939087773,2735.6877888429435,2769.0487200794746,1639037
2021-04-29,2738.544189453125,2775.5534111245584,2729.9731900639367,2765.224258014511,1621395
2021-04-30,2668.56982421875,2753.312969915444,2654.8123559697738,2724.2594341557383,3072305
